Treatment,CouponID,ProbeDepth,PercentageAtDepth
SulfideOnly,13,0.806761,0.0201474
SulfideOnly,13,1.21014,0.035258
SulfideOnly,13,1.61352,0.0677432
SulfideOnly,13,2.0169,0.157033
SulfideOnly,13,2.42028,0.3682
SulfideOnly,13,2.82366,0.890278
SulfideOnly,13,3.22704,1.89752
SulfideOnly,13,3.63042,3.61458
SulfideOnly,13,4.0338,6.02658
SulfideOnly,13,4.43719,8.70095
SulfideOnly,13,4.84057,11.5765
SulfideOnly,13,5.24395,13.3086
SulfideOnly,13,5.64733,13.1201
SulfideOnly,13,6.05071,11.4098
SulfideOnly,13,6.45409,8.14107
SulfideOnly,13,6.85747,5.39178
SulfideOnly,13,7.26085,3.41604
SulfideOnly,13,7.66423,2.22993
SulfideOnly,13,8.06761,1.69277
SulfideOnly,13,8.47099,1.4021
SulfideOnly,13,8.87437,1.16947
SulfideOnly,13,9.27775,0.99824
SulfideOnly,13,9.68113,0.803151
SulfideOnly,13,10.0845,0.619102
SulfideOnly,13,10.4879,0.453521
SulfideOnly,13,10.8913,0.33083
SulfideOnly,13,11.2947,0.268149
SulfideOnly,13,11.698,0.238539
SulfideOnly,13,12.1014,0.209259
SulfideOnly,13,12.5048,0.192673
SulfideOnly,13,12.9082,0.173161
SulfideOnly,13,13.3116,0.162273
SulfideOnly,13,13.7149,0.147748
SulfideOnly,13,14.1183,0.139811
SulfideOnly,13,14.5217,0.135436
SulfideOnly,13,14.9251,0.134545
SulfideOnly,13,15.3285,0.133858
SulfideOnly,13,15.7318,0.1218
SulfideOnly,13,16.1352,0.0881196
SulfideOnly,14,0,0
SulfideOnly,14,0.369214,0.00724012
SulfideOnly,14,0.738427,0.0129216
SulfideOnly,14,1.10764,0.0237567
SulfideOnly,14,1.47685,0.0338627
SulfideOnly,14,1.84607,0.0660158
SulfideOnly,14,2.21528,0.0618427
SulfideOnly,14,2.5845,0.0684544
SulfideOnly,14,2.95371,0.0908786
SulfideOnly,14,3.32292,0.1714
SulfideOnly,14,3.69214,0.504697
SulfideOnly,14,4.06135,1.56487
SulfideOnly,14,4.43056,3.66147
SulfideOnly,14,4.79978,6.30414
SulfideOnly,14,5.16899,9.29956
SulfideOnly,14,5.53821,12.9995
SulfideOnly,14,5.90742,16.1441
SulfideOnly,14,6.27663,16.5296
SulfideOnly,14,6.64585,12.9312
SulfideOnly,14,7.01506,7.58358
SulfideOnly,14,7.38427,3.74118
SulfideOnly,14,7.75349,1.9625
SulfideOnly,14,8.1227,1.27273
SulfideOnly,14,8.49192,0.944208
SulfideOnly,14,8.86113,0.742615
SulfideOnly,14,9.23034,0.607341
SulfideOnly,14,9.59956,0.512792
SulfideOnly,14,9.96877,0.441949
SulfideOnly,14,10.338,0.366204
SulfideOnly,14,10.7072,0.301043
SulfideOnly,14,11.0764,0.244807
SulfideOnly,14,11.4456,0.196388
SulfideOnly,14,11.8148,0.155311
SulfideOnly,14,12.1841,0.114283
SulfideOnly,14,12.5533,0.0842167
SulfideOnly,14,12.9225,0.0643315
SulfideOnly,14,13.2917,0.0531194
SulfideOnly,14,13.6609,0.0455022
SulfideOnly,14,14.0301,0.0381866
SulfideOnly,14,14.3993,0.0306951
SulfideOnly,14,14.7685,0.0208908
SulfideOnly,15,0,0
SulfideOnly,15,0.768954,0.0499849
SulfideOnly,15,1.53791,0.107686
SulfideOnly,15,2.30686,0.183247
SulfideOnly,15,3.07582,0.423519
SulfideOnly,15,3.84477,2.00259
SulfideOnly,15,4.61372,4.95739
SulfideOnly,15,5.38268,6.18448
SulfideOnly,15,6.15163,7.53331
SulfideOnly,15,6.92059,8.88819
SulfideOnly,15,7.68954,9.68616
SulfideOnly,15,8.45849,9.77651
SulfideOnly,15,9.22745,8.84586
SulfideOnly,15,9.9964,7.45427
SulfideOnly,15,10.7654,6.17713
SulfideOnly,15,11.5343,5.1348
SulfideOnly,15,12.3033,4.13141
SulfideOnly,15,13.0722,3.27595
SulfideOnly,15,13.8412,2.67828
SulfideOnly,15,14.6101,2.17899
SulfideOnly,15,15.3791,1.81652
SulfideOnly,15,16.148,1.52844
SulfideOnly,15,16.917,1.32644
SulfideOnly,15,17.6859,1.16708
SulfideOnly,15,18.4549,0.965822
SulfideOnly,15,19.2239,0.800865
SulfideOnly,15,19.9928,0.631113
SulfideOnly,15,20.7618,0.448327
SulfideOnly,15,21.5307,0.331788
SulfideOnly,15,22.2997,0.290072
SulfideOnly,15,23.0686,0.262682
SulfideOnly,15,23.8376,0.217954
SulfideOnly,15,24.6065,0.190625
SulfideOnly,15,25.3755,0.161913
SulfideOnly,15,26.1444,0.116785
SulfideOnly,15,26.9134,0.0573013
